,0,1,2,3,4,5,6,7,8,9
0,56.0,6.66667,40.0,3.16667,53.0,3.41667,96.0,14.4778,42.0,19.3333
1,51.0,6.66667,35.0,3.16667,38.0,2.66667,79.0,17.2444,39.0,24.5
2,63.0,7.33333,60.0,5.16667,48.0,3.5,83.0,12.8444,42.0,17.3333
3,39.0,4.83333,46.0,4.33333,65.0,4.75,98.0,12.0333,44.0,15.3333
4,53.0,6.0,51.0,4.66667,53.0,4.20833,116.0,12.45,60.0,16.3333
5,49.0,6.66667,47.0,4.16667,57.0,4.125,104.0,9.43889,49.0,11.8333
6,46.0,5.33333,40.0,3.33333,55.0,4.0,102.0,13.0222,50.0,17.0
7,62.0,8.66667,49.0,4.83333,51.0,3.79167,100.0,22.0167,48.0,30.5
8,62.0,7.0,61.0,5.16667,61.0,4.41667,83.0,15.5222,31.0,20.5
9,59.0,6.5,65.0,5.66667,69.0,4.75,111.0,11.7222,55.0,15.1667
10,51.0,6.0,40.0,3.0,60.0,4.04167,124.0,12.6944,63.0,16.5
11,47.0,5.5,37.0,3.66667,43.0,3.16667,116.0,12.5778,54.0,15.8333
12,52.0,6.16667,56.0,5.0,63.0,4.625,103.0,11.8389,49.0,15.1667
13,41.0,5.5,42.0,4.0,57.0,4.29167,107.0,11.5944,52.0,15.0
14,49.0,5.16667,32.0,2.0,47.0,2.625,116.0,13.0389,60.0,17.5
15,52.0,6.0,56.0,5.0,60.0,4.08333,111.0,15.2333,52.0,20.0
16,54.0,6.16667,57.0,5.66667,54.0,4.25,91.0,13.3444,49.0,18.6667
17,49.0,6.16667,39.0,3.5,53.0,4.0,112.0,13.4444,54.0,17.8333
18,59.0,7.0,59.0,4.5,67.0,4.66667,110.0,16.0889,45.0,20.8333
19,50.0,6.33333,53.0,5.16667,61.0,4.66667,99.0,19.2,44.0,26.0
20,40.0,4.83333,37.0,3.5,58.0,4.0,120.0,20.2444,57.0,27.8333
21,53.0,6.0,46.0,4.66667,49.0,4.125,99.0,14.6833,40.0,19.3333
22,49.0,5.5,42.0,3.33333,51.0,3.33333,92.0,14.4222,46.0,19.8333
