,0,1,2,3,4,5,6,7,8,9
0,51.0,6.66667,35.0,3.16667,38.0,2.66667,79.0,17.2444,39.0,24.5
1,63.0,7.33333,60.0,5.16667,48.0,3.5,83.0,12.8444,42.0,17.3333
2,39.0,4.83333,46.0,4.33333,65.0,4.75,98.0,12.0333,44.0,15.3333
3,53.0,6.0,51.0,4.66667,53.0,4.20833,116.0,12.45,60.0,16.3333
4,49.0,6.66667,47.0,4.16667,57.0,4.125,104.0,9.43889,49.0,11.8333
5,46.0,5.33333,40.0,3.33333,55.0,4.0,102.0,13.0222,50.0,17.0
6,62.0,8.66667,49.0,4.83333,51.0,3.79167,100.0,22.0167,48.0,30.5
7,62.0,7.0,61.0,5.16667,61.0,4.41667,83.0,15.5222,31.0,20.5
8,59.0,6.5,65.0,5.66667,69.0,4.75,111.0,11.7222,55.0,15.1667
9,51.0,6.0,40.0,3.0,60.0,4.04167,124.0,12.6944,63.0,16.5
10,47.0,5.5,37.0,3.66667,43.0,3.16667,116.0,12.5778,54.0,15.8333
11,52.0,6.16667,56.0,5.0,63.0,4.625,103.0,11.8389,49.0,15.1667
12,41.0,5.5,42.0,4.0,57.0,4.29167,107.0,11.5944,52.0,15.0
13,49.0,5.16667,32.0,2.0,47.0,2.625,116.0,13.0389,60.0,17.5
14,52.0,6.0,56.0,5.0,60.0,4.08333,111.0,15.2333,52.0,20.0
15,54.0,6.16667,57.0,5.66667,54.0,4.25,91.0,13.3444,49.0,18.6667
16,49.0,6.16667,39.0,3.5,53.0,4.0,112.0,13.4444,54.0,17.8333
17,59.0,7.0,59.0,4.5,67.0,4.66667,110.0,16.0889,45.0,20.8333
18,50.0,6.33333,53.0,5.16667,61.0,4.66667,99.0,19.2,44.0,26.0
19,40.0,4.83333,37.0,3.5,58.0,4.0,120.0,20.2444,57.0,27.8333
20,53.0,6.0,46.0,4.66667,49.0,4.125,99.0,14.6833,40.0,19.3333
21,49.0,5.5,42.0,3.33333,51.0,3.33333,92.0,14.4222,46.0,19.8333
22,56.0,7.33333,36.0,3.5,49.0,3.75,94.0,13.5,41.0,17.6667
23,58.0,6.66667,50.0,4.0,44.0,2.875,88.0,16.4278,41.0,22.8333
24,63.0,8.0,63.0,6.66667,63.0,4.91667,89.0,26.1222,33.0,36.3333
25,43.0,5.83333,51.0,4.0,72.0,5.33333,106.0,18.3111,46.0,24.5
26,57.0,7.5,43.0,4.66667,44.0,3.375,103.0,14.8278,50.0,19.6667
27,44.0,4.83333,51.0,4.83333,56.0,4.41667,100.0,10.5444,47.0,13.5
28,47.0,5.83333,52.0,4.83333,69.0,5.375,114.0,11.85,51.0,14.5
29,54.0,6.66667,38.0,2.5,60.0,3.95833,121.0,12.5722,62.0,16.5
30,51.0,7.0,37.0,4.33333,39.0,3.20833,117.0,11.05,68.0,14.6667
31,58.0,6.66667,58.0,5.0,57.0,4.20833,97.0,9.11667,40.0,10.5
32,56.0,7.5,49.0,5.16667,62.0,5.29167,102.0,14.3944,53.0,18.6667
33,58.0,7.33333,51.0,4.5,63.0,4.66667,118.0,14.8889,59.0,20.0
34,49.0,5.83333,44.0,4.16667,52.0,4.25,101.0,9.3125,49.0,16.3333
35,59.0,6.5,63.0,5.5,65.0,4.45833,111.0,12.0833,51.0,15.1667
36,35.0,4.66667,44.0,4.5,63.0,5.125,116.0,12.6389,63.0,16.5
37,44.0,4.83333,34.0,2.66667,60.0,4.08333,135.0,14.7,68.0,18.8333
38,59.0,7.5,41.0,3.5,32.0,2.29167,88.0,10.9056,54.0,15.3333
39,62.0,7.33333,61.0,5.16667,51.0,3.375,88.0,9.27222,47.0,12.0
